id	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
#q2:types	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0	0ebb2cf4a2017aeaefadf9ae5062eb62	4455680	100	252	0	0	1	252	527	778	1.47e-129	466
1	0ebb2cf4a2017aeaefadf9ae5062eb62	3449658	100	252	0	0	1	252	508	759	1.47e-129	466
2	0ebb2cf4a2017aeaefadf9ae5062eb62	3449655	100	252	0	0	1	252	517	768	1.47e-129	466
3	0ebb2cf4a2017aeaefadf9ae5062eb62	2398794	100	252	0	0	1	252	507	758	1.47e-129	466
4	0ebb2cf4a2017aeaefadf9ae5062eb62	2280996	100	252	0	0	1	252	504	755	1.47e-129	466
5	0ebb2cf4a2017aeaefadf9ae5062eb62	38834	100	252	0	0	1	252	526	777	1.47e-129	466
6	0ebb2cf4a2017aeaefadf9ae5062eb62	173852	100	252	0	0	1	252	527	778	1.47e-129	466
7	0ebb2cf4a2017aeaefadf9ae5062eb62	174291	100	252	0	0	1	252	527	778	1.47e-129	466
8	0ebb2cf4a2017aeaefadf9ae5062eb62	175228	100	252	0	0	1	252	531	782	1.47e-129	466
9	0ebb2cf4a2017aeaefadf9ae5062eb62	175272	100	252	0	0	1	252	527	778	1.47e-129	466
10	72e530a4206f2e4804d502f4dfca8387	659704	100	252	0	0	1	252	512	763	1.47e-129	466
11	72e530a4206f2e4804d502f4dfca8387	657108	100	252	0	0	1	252	512	763	1.47e-129	466
12	72e530a4206f2e4804d502f4dfca8387	3172947	100	252	0	0	1	252	532	783	1.47e-129	466
13	72e530a4206f2e4804d502f4dfca8387	175035	100	252	0	0	1	252	531	782	1.47e-129	466
14	72e530a4206f2e4804d502f4dfca8387	175648	100	252	0	0	1	252	532	783	1.47e-129	466
15	72e530a4206f2e4804d502f4dfca8387	229882	100	252	0	0	1	252	516	767	1.47e-129	466
16	72e530a4206f2e4804d502f4dfca8387	230284	100	252	0	0	1	252	520	771	1.47e-129	466
17	72e530a4206f2e4804d502f4dfca8387	230999	100	252	0	0	1	252	521	772	1.47e-129	466
18	72e530a4206f2e4804d502f4dfca8387	232280	100	252	0	0	1	252	520	771	1.47e-129	466
19	72e530a4206f2e4804d502f4dfca8387	233816	100	252	0	0	1	252	517	768	1.47e-129	466
20	bbee9f3d2ff7eae779b70c7ac2c971e4	186594	100	252	0	0	1	252	525	776	1.47e-129	466
21	bbee9f3d2ff7eae779b70c7ac2c971e4	198418	100	252	0	0	1	252	525	776	1.47e-129	466
22	bbee9f3d2ff7eae779b70c7ac2c971e4	295188	100	252	0	0	1	252	525	776	1.47e-129	466
23	bbee9f3d2ff7eae779b70c7ac2c971e4	295321	100	252	0	0	1	252	525	776	1.47e-129	466
24	bbee9f3d2ff7eae779b70c7ac2c971e4	297768	100	252	0	0	1	252	523	774	1.47e-129	466
25	bbee9f3d2ff7eae779b70c7ac2c971e4	178219	99.603	252	1	0	1	252	525	776	6.82e-128	460
26	bbee9f3d2ff7eae779b70c7ac2c971e4	259557	99.603	252	1	0	1	252	537	788	6.82e-128	460
27	bbee9f3d2ff7eae779b70c7ac2c971e4	185723	99.206	252	2	0	1	252	525	776	3.17e-126	455
28	bbee9f3d2ff7eae779b70c7ac2c971e4	720128	95.238	252	12	0	1	252	505	756	1.51e-109	399
29	bbee9f3d2ff7eae779b70c7ac2c971e4	701684	95.238	252	12	0	1	252	505	756	1.51e-109	399
30	efa934e07029e49f4b1959b33c677589	4476333	100	253	0	0	1	253	528	780	4.09e-130	468
31	efa934e07029e49f4b1959b33c677589	4457774	100	253	0	0	1	253	515	767	4.09e-130	468
32	efa934e07029e49f4b1959b33c677589	3113753	100	253	0	0	1	253	506	758	4.09e-130	468
33	efa934e07029e49f4b1959b33c677589	2295936	100	253	0	0	1	253	528	780	4.09e-130	468
34	efa934e07029e49f4b1959b33c677589	2275090	100	253	0	0	1	253	528	780	4.09e-130	468
35	efa934e07029e49f4b1959b33c677589	1992	100	253	0	0	1	253	523	775	4.09e-130	468
36	efa934e07029e49f4b1959b33c677589	1994	100	253	0	0	1	253	518	770	4.09e-130	468
37	efa934e07029e49f4b1959b33c677589	1998	100	253	0	0	1	253	521	773	4.09e-130	468
38	efa934e07029e49f4b1959b33c677589	227596	100	253	0	0	1	253	493	745	4.09e-130	468
39	efa934e07029e49f4b1959b33c677589	228978	100	253	0	0	1	253	516	768	4.09e-130	468
40	b2ce7f937c4d1e391758282974fcf514	167498	99.605	253	1	0	1	253	526	778	1.9e-128	462
41	b2ce7f937c4d1e391758282974fcf514	170179	99.605	253	1	0	1	253	506	758	1.9e-128	462
42	b2ce7f937c4d1e391758282974fcf514	227754	99.605	253	1	0	1	253	511	763	1.9e-128	462
43	b2ce7f937c4d1e391758282974fcf514	229622	99.605	253	1	0	1	253	514	766	1.9e-128	462
44	b2ce7f937c4d1e391758282974fcf514	233510	99.605	253	1	0	1	253	515	767	1.9e-128	462
45	b2ce7f937c4d1e391758282974fcf514	264588	99.605	253	1	0	1	253	528	780	1.9e-128	462
46	b2ce7f937c4d1e391758282974fcf514	266648	99.605	253	1	0	1	253	528	780	1.9e-128	462
47	b2ce7f937c4d1e391758282974fcf514	131743	99.209	253	2	0	1	253	511	763	8.86e-127	457
48	b2ce7f937c4d1e391758282974fcf514	162539	99.209	253	2	0	1	253	506	758	8.86e-127	457
49	b2ce7f937c4d1e391758282974fcf514	194490	98.819	254	2	1	1	253	528	781	4.12e-125	451
50	0ad13b6d1cd98ad7e8f6ee9909d33114	641520	100	252	0	0	1	252	511	762	1.47e-129	466
51	0ad13b6d1cd98ad7e8f6ee9909d33114	615243	100	252	0	0	1	252	511	762	1.47e-129	466
52	0ad13b6d1cd98ad7e8f6ee9909d33114	792426	100	252	0	0	1	252	511	762	1.47e-129	466
53	0ad13b6d1cd98ad7e8f6ee9909d33114	631845	100	252	0	0	1	252	511	762	1.47e-129	466
54	0ad13b6d1cd98ad7e8f6ee9909d33114	724532	100	252	0	0	1	252	511	762	1.47e-129	466
55	0ad13b6d1cd98ad7e8f6ee9909d33114	779685	100	252	0	0	1	252	511	762	1.47e-129	466
56	0ad13b6d1cd98ad7e8f6ee9909d33114	690018	100	252	0	0	1	252	511	762	1.47e-129	466
57	0ad13b6d1cd98ad7e8f6ee9909d33114	693556	100	252	0	0	1	252	511	762	1.47e-129	466
58	0ad13b6d1cd98ad7e8f6ee9909d33114	673210	100	252	0	0	1	252	511	762	1.47e-129	466
59	0ad13b6d1cd98ad7e8f6ee9909d33114	721694	100	252	0	0	1	252	511	762	1.47e-129	466
60	91c6bd1773aaec302882b43aff6babc4	4352802	100	252	0	0	1	252	534	785	1.47e-129	466
61	91c6bd1773aaec302882b43aff6babc4	3783186	100	252	0	0	1	252	534	785	1.47e-129	466
62	91c6bd1773aaec302882b43aff6babc4	38278	100	252	0	0	1	252	532	783	1.47e-129	466
63	91c6bd1773aaec302882b43aff6babc4	203853	100	252	0	0	1	252	535	786	1.47e-129	466
64	91c6bd1773aaec302882b43aff6babc4	204003	100	252	0	0	1	252	535	786	1.47e-129	466
65	91c6bd1773aaec302882b43aff6babc4	204203	100	252	0	0	1	252	535	786	1.47e-129	466
66	91c6bd1773aaec302882b43aff6babc4	204799	100	252	0	0	1	252	535	786	1.47e-129	466
67	91c6bd1773aaec302882b43aff6babc4	205969	100	252	0	0	1	252	535	786	1.47e-129	466
68	91c6bd1773aaec302882b43aff6babc4	207419	100	252	0	0	1	252	535	786	1.47e-129	466
